rank,word,count
1,datum,267
2,people,149
3,social,137
4,medium,109
5,thing,89
6,information,83
7,say,82
8,good,79
9,government,70
10,way,67
11,understand,66
12,think,63
13,company,58
14,look,58
15,use,58
16,may,51
17,work,47
18,example,44
19,lot,43
20,research,43
21,different,42
22,know,42
23,much,41
24,system,41
25,interest,40
26,like,40
27,trust,40
28,see,38
29,something,38
30,big,37
31,area,36
32,personal,35
33,really,35
34,sense,34
35,sort,34
36,come,33
37,kind,32
38,time,32
39,user,32
40,talk,31
41,issue,30
42,make,30
43,public,30
44,analytics,29
45,science,29
46,term,29
47,get,28
48,level,28
49,many,28
50,service,28
51,share,28
52,year,28
53,particular,27
54,facebook,24
55,important,24
56,mechanism,24
57,twitter,24
58,emergency,23
59,find,23
60,now,23
61,open,23
62,point,23
63,amount,22
64,collect,22
65,private,22
66,right,22
67,technology,22
68,back,21
69,certain,21
70,happen,21
71,individual,21
72,access,20
73,case,20
74,concern,20
75,try,20
76,university,20
77,analysis,19
78,commercial,19
79,context,19
80,reason,19
81,bite,18
82,business,18
83,deal,18
84,give,18
85,process,18
86,two,18
87,citizen,17
88,help,17
89,human,17
90,large,17
91,need,17
92,real,17
93,situation,17
94,verification,17
95,another,16
96,ask,16
97,feel,16
98,first,16
99,infrastructure,16
100,little,16
101,place,16
102,problem,16
103,rather,16
104,simply,16
105,sure,16
106,technical,16
107,around,15
108,challenge,15
109,difficult,15
110,ethical,15
111,idea,15
112,include,15
113,moment,15
114,question,15
115,standard,15
116,take,15
117,tweet,15
118,whatever,15
119,approach,14
120,education,14
121,great,14
122,group,14
123,insight,14
124,mean,14
125,probably,14
126,provide,14
127,require,14
128,start,14
129,agree,13
130,allow,13
131,already,13
132,available,13
133,change,13
134,condition,13
135,disaster,13
136,everything,13
137,policy,13
138,possible,13
139,project,13
140,skill,13
141,web,13
142,world,13
143,aspect,12
144,believe,12
145,benefit,12
146,exist,12
147,internet,12
148,population,12
149,privacy,12
150,security,12
151,small,12
152,source,12
153,speak,12
154,still,12
155,tool,12
156,whole,12
157,will,12
158,able,11
159,bring,11
160,clear,11
161,consent,11
162,course,11
163,local,11
164,move,11
165,part,11
166,pretty,11
167,scientist,11
168,software,11
169,someone,11
170,state,11
171,true,11
172,view,11
173,act,10
174,almost,10
175,answer,10
176,aware,10
177,become,10
178,certainly,10
179,easy,10
180,high,10
181,hold,10
182,involve,10
183,obvious,10
184,person,10
185,professor,10
186,purpose,10
187,release,10
188,show,10
189,side,10
190,sign,10
191,together,10
192,absolutely,9
193,although,9
194,base,9
195,call,9
196,collection,9
197,communication,9
198,completely,9
199,depend,9
200,end,9
201,exactly,9
202,fact,9
203,fast,9
204,identity,9
205,last,9
206,protect,9
207,regulation,9
208,sector,9
209,tend,9
210,activity,8
211,always,8
212,anonymise,8
213,away,8
214,build,8
215,centre,8
216,city,8
217,community,8
218,computer,8
219,council,8
220,digital,8
221,document,8
222,don,8
223,economic,8
224,effect,8
225,element,8
226,else,8
227,experience,8
228,extremely,8
229,generally,8
230,innovation,8
231,job,8
232,long,8
233,network,8
234,opinion,8
235,perhaps,8
236,programme,8
237,protection,8
238,read,8
239,resource,8
240,respond,8
241,school,8
242,secure,8
243,seem,8
244,somebody,8
245,structure,8
246,terrorist,8
247,train,8
248,type,8
249,value,8
250,whereas,8
251,academic,7
252,actually,7
253,address,7
254,awareness,7
255,broad,7
256,capability,7
257,choose,7
258,content,7
259,customer,7
260,degree,7
261,detail,7
262,difference,7
263,directly,7
264,early,7
265,economy,7
266,effective,7
267,engage,7
268,enough,7
269,especially,7
270,ethic,7
271,europe,7
272,evidence,7
273,extent,7
274,fear,7
275,follow,7
276,food,7
277,helpful,7
278,imagine,7
279,indeed,7
280,key,7
281,lead,7
282,legislation,7
283,method,7
284,mind,7
285,national,7
286,never,7
287,numb,7
288,platform,7
289,product,7
290,provider,7
291,publish,7
292,record,7
293,relate,7
294,report,7
295,response,7
296,rumour,7
297,scale,7
298,simple,7
299,slightly,7
300,space,7
301,stage,7
302,statistic,7
303,store,7
304,stuff,7
305,useful,7
306,various,7
307,want,7
308,ability,6
309,ago,6
310,application,6
311,apply,6
312,authority,6
313,balance,6
314,broadcast,6
315,care,6
316,census,6
317,comment,6
318,complex,6
319,consequence,6
320,control,6
321,conversation,6
322,country,6
323,dataset,6
324,decision,6
325,demand,6
326,discipline,6
327,discourse,6
328,discussion,6
329,emerge,6
330,establish,6
331,exchange,6
332,expect,6
333,focus,6
334,future,6
335,gain,6
336,general,6
337,google,6
338,hard,6
339,hashtag,6
340,health,6
341,hear,6
342,huge,6
343,institution,6
344,interdisciplinary,6
345,interpretation,6
346,investment,6
347,law,6
348,market,6
349,matter,6
350,mention,6
351,necessary,6
352,old,6
353,online,6
354,organisation,6
355,partly,6
356,phone,6
357,post,6
358,predict,6
359,principle,6
360,realise,6
361,recently,6
362,refer,6
363,remember,6
364,represent,6
365,respect,6
366,run,6
367,shortage,6
368,step,6
369,support,6
370,turn,6
371,typically,6
372,valuable,6
373,alert,5
374,along,5
375,anonymisation,5
376,anything,5
377,argument,5
378,associate,5
379,attention,5
380,attitude,5
381,audit,5
382,awful,5
383,bad,5
384,basis,5
385,begin,5
386,birmingham,5
387,brand,5
388,campaign,5
389,careful,5
390,close,5
391,compute,5
392,confidence,5
393,contact,5
394,correct,5
395,crime,5
396,crisis,5
397,currently,5
398,decide,5
399,design,5
400,domain,5
401,expert,5
402,far,5
403,form,5
404,global,5
405,hand,5
406,identify,5
407,impact,5
408,increase,5
409,industry,5
410,instance,5
411,institute,5
412,intention,5
413,judgment,5
414,keep,5
415,learn,5
416,legal,5
417,less,5
418,london,5
419,must,5
420,notion,5
421,occur,5
422,other,5
423,patriot,5
424,piece,5
425,play,5
426,practice,5
427,prepare,5
428,present,5
429,program,5
430,putting,5
431,quickly,5
432,range,5
433,reduce,5
434,regard,5
435,return,5
436,rule,5
437,sensible,5
438,significant,5
439,site,5
440,society,5
441,somewhere,5
442,spreadsheet,5
443,suggest,5
444,terrorism,5
445,three,5
446,truly,5
447,verify,5
448,vulnerable,5
449,website,5
450,wish,5
451,wrong,5
452,abstract,4
453,account,4
454,achieve,4
455,addition,4
456,age,4
457,aim,4
458,algorithm,4
459,behaviour,4
460,bias,4
461,breach,4
462,casualty,4
463,cause,4
464,central,4
465,communicate,4
466,consumer,4
467,contract,4
468,cultural,4
469,database,4
470,debunk,4
471,define,4
472,direct,4
473,distinction,4
474,drive,4
475,employer,4
476,environment,4
477,esrc,4
478,european,4
479,event,4
480,eventually,4
481,everybody,4
482,everyone,4
483,experiment,4
484,explain,4
485,familiar,4
486,financial,4
487,fit,4
488,five,4
489,flow,4
490,framework,4
491,front,4
492,fund,4
493,grind,4
494,harm,4
495,improve,4
496,increasingly,4
497,inform,4
498,intelligence,4
499,intent,4
500,interaction,4
501,interpret,4
502,lack,4
503,largescale,4
504,let,4
505,limit,4
506,locate,4
507,lose,4
508,maker,4
509,management,4
510,miss,4
511,mobile,4
512,model,4
513,monitor,4
514,naive,4
515,newspaper,4
516,obviously,4
517,offer,4
518,one,4
519,order,4
520,perspective,4
521,photograph,4
522,positive,4
523,possibly,4
524,practical,4
525,profile,4
526,proper,4
527,prove,4
528,purely,4
529,rate,4
530,reasonable,4
531,recent,4
532,relationship,4
533,replace,4
534,request,4
535,requirement,4
536,researcher,4
537,risk,4
538,road,4
539,round,4
540,scientific,4
541,seriously,4
542,seven,4
543,shift,4
544,since,4
545,sit,4
546,sociologist,4
547,sorry,4
548,specific,4
549,square,4
550,statistical,4
551,study,4
552,suddenly,4
553,supply,4
554,survey,4
555,technique,4
556,telephone,4
557,tell,4
558,theory,4
559,thirdparty,4
560,tremendous,4
561,trend,4
562,truth,4
563,unite,4
564,unstructured,4
565,within,4
566,write,4
567,yet,4
568,abuse,3
569,add,3
570,affect,3
571,ahead,3
572,aircraft,3
573,analyse,3
574,app,3
575,argue,3
576,assess,3
577,asymmetry,3
578,audience,3
579,background,3
580,barrier,3
581,basically,3
582,bear,3
583,behind,3
584,being,3
585,beyond,3
586,blog,3
587,board,3
588,body,3
589,bulk,3
590,buy,3
591,camera,3
592,capacity,3
593,card,3
594,caredata,3
595,carry,3
596,cctv,3
597,channel,3
