rank,word,count
1,datum,95
2,company,30
3,business,25
4,medium,25
5,people,25
6,social,25
7,think,21
8,information,20
9,scientific,19
10,research,18
11,analytics,17
12,industry,17
13,say,17
14,skill,16
15,try,16
16,user,16
17,understand,15
18,important,14
19,customer,13
20,example,13
21,government,13
22,issue,13
23,much,13
24,thing,13
25,tool,13
26,use,13
27,kind,12
28,look,12
29,numb,12
30,online,12
31,provide,12
32,right,12
33,technology,12
34,way,12
35,big,11
36,software,11
37,term,11
38,around,10
39,come,10
40,talk,10
41,agree,9
42,member,9
43,need,9
44,protection,9
45,service,9
46,source,9
47,speak,9
48,time,9
49,anonymise,8
50,available,8
51,believe,8
52,different,8
53,early,8
54,organisation,8
55,possible,8
56,see,8
57,system,8
58,techuk,8
59,work,8
60,year,8
61,analysis,7
62,another,7
63,area,7
64,completely,7
65,consumer,7
66,digital,7
67,economy,7
68,gather,7
69,good,7
70,individual,7
71,know,7
72,particularly,7
73,point,7
74,question,7
75,remove,7
76,twitter,7
77,attention,6
78,comment,6
79,discussion,6
80,evaluation,6
81,fact,6
82,gap,6
83,get,6
84,impact,6
85,insight,6
86,job,6
87,law,6
88,opportunity,6
89,particular,6
90,practice,6
91,sector,6
92,support,6
93,tell,6
94,two,6
95,action,5
96,address,5
97,altmetric,5
98,carl,5
99,case,5
100,concern,5
101,deal,5
102,find,5
103,interest,5
104,like,5
105,literature,5
106,lot,5
107,make,5
108,mind,5
109,privacy,5
110,public,5
111,range,5
112,regulation,5
113,revenue,5
114,role,5
115,rule,5
116,security,5
117,sell,5
118,set,5
119,staff,5
120,today,5
121,tweet,5
122,value,5
123,able,4
124,already,4
125,analyse,4
126,back,4
127,base,4
128,briefly,4
129,broad,4
130,certain,4
131,certainly,4
132,clear,4
133,commercial,4
134,consider,4
135,course,4
136,currently,4
137,dataset,4
138,delete,4
139,google,4
140,great,4
141,growth,4
142,help,4
143,hope,4
144,huge,4
145,identify,4
146,implication,4
147,innovation,4
148,involve,4
149,large,4
150,link,4
151,long,4
152,many,4
153,measure,4
154,million,4
155,order,4
156,other,4
157,paper,4
158,personal,4
159,perspective,4
160,play,4
161,propose,4
162,publicly,4
163,publisher,4
164,simple,4
165,strong,4
166,subject,4
167,sure,4
168,take,4
169,tech,4
170,technical,4
171,ultimately,4
172,useful,4
173,vacancy,4
174,absolutely,3
175,access,3
176,across,3
177,addition,3
178,anonymous,3
179,answer,3
180,apply,3
181,assume,3
182,attract,3
183,aware,3
184,become,3
185,benefit,3
186,british,3
187,broadly,3
188,call,3
189,challenge,3
190,change,3
191,choice,3
192,comply,3
193,context,3
194,council,3
195,couple,3
196,create,3
197,current,3
198,day,3
199,decision,3
200,degree,3
201,detail,3
202,difficult,3
203,discuss,3
204,document,3
205,economic,3
206,engage,3
207,expect,3
208,expectation,3
209,expert,3
210,first,3
211,forget,3
212,gaming,3
213,global,3
214,grow,3
215,happen,3
216,high,3
217,hold,3
218,hopefully,3
219,incentive,3
220,include,3
221,invest,3
222,justice,3
223,lead,3
224,learn,3
225,legislation,3
226,limit,3
227,london,3
228,matter,3
229,money,3
230,morning,3
231,move,3
232,office,3
233,one,3
234,open,3
235,operate,3
236,perhaps,3
237,policy,3
238,principle,3
239,probably,3
240,reader,3
241,risk,3
242,science,3
243,show,3
244,small,3
245,submission,3
246,suggest,3
247,three,3
248,transparency,3
249,view,3
250,website,3
251,whole,3
252,wide,3
253,young,3
254,accord,2
255,achieve,2
256,actually,2
257,add,2
258,affect,2
259,age,2
260,ago,2
261,ahead,2
262,allow,2
263,analytic,2
264,anecdotal,2
265,anecdotally,2
266,anything,2
267,author,2
268,behind,2
269,body,2
270,capacity,2
271,cautious,2
272,cherrypicking,2
273,citation,2
274,closely,2
275,commissioner,2
276,committee,2
277,competition,2
278,computer,2
279,conduct,2
280,confidence,2
281,consideration,2
282,content,2
283,court,2
284,datafeed,2
285,definitely,2
286,demand,2
287,detect,2
288,development,2
289,director,2
290,discourse,2
291,don,2
292,education,2
293,effective,2
294,efficient,2
295,element,2
296,enable,2
297,encourage,2
298,end,2
299,enough,2
300,eskills,2
301,essential,2
302,establish,2
303,ethic,2
304,european,2
305,evidence,2
306,evident,2
307,facebook,2
308,fair,2
309,far,2
310,field,2
311,five,2
312,forth,2
313,framework,2
314,full,2
315,funder,2
316,game,2
317,generate,2
318,give,2
319,grind,2
320,hand,2
321,hard,2
322,highlight,2
323,identifiable,2
324,identity,2
325,importance,2
326,increase,2
327,incredibly,2
328,inevitably,2
329,inform,2
330,initiative,2
331,journal,2
332,keep,2
333,key,2
334,late,2
335,license,2
336,low,2
337,mainly,2
338,mainstream,2
339,majority,2
340,maximise,2
341,may,2
342,mechanism,2
343,mention,2
344,merge,2
345,mix,2
346,motivation,2
347,nationality,2
348,necessary,2
349,news,2
350,number,2
351,obtain,2
352,part,2
353,period,2
354,person,2
355,possibly,2
356,post,2
357,pragmatic,2
358,premise,2
359,produce,2
360,product,2
361,professional,2
362,program,2
363,progress,2
364,publication,2
