rank,word,count
1,datum,90
2,think,52
3,government,42
4,work,41
5,information,34
6,term,31
7,issue,29
8,protection,29
9,people,28
10,good,27
11,research,25
12,consent,23
13,right,22
14,come,21
15,different,21
16,understand,20
17,business,17
18,consumer,17
19,important,17
20,medium,17
21,say,17
22,area,16
23,company,16
24,lot,16
25,big,15
26,privacy,15
27,public,15
28,social,15
29,use,15
30,way,15
31,commissioner,13
32,make,13
33,perhaps,13
34,see,13
35,give,11
36,industry,11
37,still,11
38,sure,11
39,thing,11
40,concept,10
41,condition,10
42,debate,10
43,individual,10
44,like,10
45,point,10
46,provide,10
47,skill,10
48,clear,9
49,clearly,9
50,impact,9
51,legislation,9
52,look,9
53,may,9
54,much,9
55,view,9
56,able,8
57,ensure,8
58,forward,8
59,gbp,8
60,know,8
61,notice,8
62,office,8
63,organisation,8
64,technology,8
65,balance,7
66,certain,7
67,challenge,7
68,country,7
69,department,7
70,early,7
71,evidence,7
72,first,7
73,focus,7
74,idea,7
75,interaction,7
76,link,7
77,million,7
78,now,7
79,policy,7
80,process,7
81,regulation,7
82,relationship,7
83,scenario,7
84,service,7
85,sometimes,7
86,stage,7
87,start,7
88,user,7
89,approach,6
90,ask,6
91,available,6
92,aware,6
93,consider,6
94,example,6
95,explicit,6
96,find,6
97,get,6
98,great,6
99,importance,6
100,kind,6
101,large,6
102,long,6
103,moment,6
104,need,6
105,numb,6
106,particularly,6
107,personal,6
108,place,6
109,promote,6
110,reference,6
111,sense,6
112,take,6
113,time,6
114,want,6
115,wide,6
116,world,6
117,act,5
118,ahead,5
119,answer,5
120,apprenticeship,5
121,certainly,5
122,committee,5
123,compute,5
124,council,5
125,cover,5
126,deal,5
127,digital,5
128,effectively,5
129,help,5
130,highperformance,5
131,investment,5
132,judgment,5
133,lead,5
134,minister,5
135,national,5
136,part,5
137,private,5
138,probably,5
139,range,5
140,read,5
141,reason,5
142,role,5
143,science,5
144,security,5
145,share,5
146,shortage,5
147,strong,5
148,transparency,5
149,within,5
150,year,5
151,access,4
152,allow,4
153,always,4
154,analytics,4
155,another,4
156,app,4
157,apply,4
158,assessment,4
159,behind,4
160,call,4
161,citizen,4
162,collider,4
163,consideration,4
164,constituency,4
165,current,4
166,discussion,4
167,economy,4
168,engineer,4
169,enough,4
170,equally,4
171,europe,4
172,explore,4
173,forget,4
174,freedom,4
175,funnily,4
176,guidance,4
177,hadron,4
178,happen,4
179,implication,4
180,innovation,4
181,institute,4
182,involve,4
183,keen,4
184,law,4
185,legitimate,4
186,move,4
187,open,4
188,option,4
189,piece,4
190,play,4
191,position,4
192,potentially,4
193,programme,4
194,question,4
195,receive,4
196,relate,4
197,school,4
198,sector,4
199,sit,4
200,something,4
201,straightforward,4
202,subject,4
203,talk,4
204,tool,4
205,transaction,4
206,university,4
207,website,4
208,write,4
209,across,3
210,almost,3
211,amount,3
212,anonymise,3
213,application,3
214,around,3
215,base,3
216,beyond,3
217,billion,3
218,broad,3
219,child,3
220,circumstance,3
221,closely,3
222,concern,3
223,create,3
224,cross,3
225,culture,3
226,david,3
227,decision,3
228,design,3
229,difficult,3
230,discuss,3
231,don,3
232,eight,3
233,end,3
234,estimate,3
235,ethical,3
236,european,3
237,everything,3
238,explain,3
239,expression,3
240,full,3
241,game,3
242,general,3
243,global,3
244,google,3
245,hard,3
246,immigration,3
247,include,3
248,inform,3
249,interact,3
250,interest,3
251,internet,3
252,key,3
253,lack,3
254,lawyer,3
255,level,3
256,location,3
257,main,3
258,matter,3
259,mention,3
260,next,3
261,nuisance,3
262,obviously,3
263,online,3
264,other,3
265,outside,3
266,particular,3
267,pretty,3
268,proposal,3
269,propose,3
270,rather,3
271,really,3
272,recognise,3
273,responsible,3
274,result,3
275,return,3
276,risk,3
277,route,3
278,scientific,3
279,session,3
280,show,3
281,site,3
282,slightly,3
283,small,3
284,solution,3
285,somebody,3
286,specific,3
287,stand,3
288,standard,3
289,state,3
290,successful,3
291,transparent,3
292,try,3
293,twitter,3
294,two,3
295,ultimately,3
296,useful,3
297,willetts,3
298,wish,3
299,word,3
300,wrong,3
301,abuse,2
302,academia,2
303,academic,2
304,achieve,2
305,advance,2
306,advert,2
307,advice,2
308,agency,2
309,agree,2
310,alan,2
311,american,2
312,appropriate,2
313,attract,2
314,benefit,2
315,breach,2
316,brussels,2
317,capital,2
318,catapult,2
319,century,2
320,chair,2
321,change,2
322,click,2
323,code,2
324,colleague,2
325,commission,2
326,compare,2
327,comparison,2
328,computer,2
329,connect,2
330,continue,2
331,control,2
332,controller,2
333,cookie,2
334,correct,2
335,court,2
336,credit,2
337,currently,2
338,degree,2
339,deliberately,2
340,describe,2
341,develop,2
342,development,2
343,difference,2
344,directive,2
345,draft,2
346,drive,2
347,easy,2
348,education,2
349,effect,2
350,effective,2
351,element,2
352,emerge,2
353,eprivacy,2
354,essentially,2
355,expectation,2
356,explanation,2
357,extent,2
358,face,2
359,facebook,2
360,fact,2
361,few,2
362,figure,2
363,framework,2
364,future,2
365,happy,2
366,head,2
367,hear,2
368,helpful,2
369,history,2
370,home,2
371,hope,2
372,identify,2
373,implementation,2
374,increase,2
375,increasingly,2
376,indicate,2
377,initial,2
378,innovative,2
379,international,2
380,internationally,2
381,introduce,2
382,intrusive,2
383,job,2
384,justice,2
385,keep,2
386,kit,2
387,label,2
388,layer,2
389,learn,2
390,legitimise,2
391,many,2
392,mind,2
393,ministry,2
394,mitigate,2
395,mix,2
396,modernise,2
397,music,2
398,negotiate,2
399,offence,2
400,opportunity,2
401,partnership,2
402,perspective,2
403,physical,2
404,potential,2
405,power,2
406,practice,2
407,pragmatic,2
408,principle,2
409,profile,2
410,proportionality,2
411,protect,2
412,ream,2
413,reasonable,2
414,reconstitute,2
415,relatively,2
416,relevant,2
417,removal,2
418,restrict,2
419,round,2
420,scheme,2
421,search,2
422,seek,2
423,sign,2
424,simplify,2
425,simply,2
426,single,2
427,situation,2
428,specifically,2
429,statistic,2
430,student,2
431,support,2
432,table,2
433,teach,2
434,technique,2
435,thousand,2
436,transact,2
437,trend,2
438,true,2
439,truly,2
440,trust,2
441,turing,2
442,type,2
443,welcome,2
444,worker,2
445,yesterday,2
446,young,2
447,abroad,1
448,absolute,1
449,accept,1
450,account,1
451,actively,1
452,actually,1
453,add,1
454,address,1
455,adsense,1
456,advertise,1
457,affect,1
458,age,1
459,aggregate,1
460,air,1
461,airport,1
462,already,1
463,alternative,1
464,ambitious,1
465,analogy,1
466,anonymous,1
467,anticipate,1
468,argue,1
469,aspect,1
470,attend,1
471,authority,1
472,away,1
473,background,1
474,banner,1
475,barrier,1
476,basic,1
477,basis,1
478,beforewhere,1
479,begin,1
480,behalf,1
481,bid,1
482,bizarre,1
483,board,1
484,bone,1
485,bright,1
486,british,1
487,browse,1
488,budget,1
489,build,1
490,bump,1
491,burden,1
492,bureau,1
493,bureaucracy,1
494,callouts,1
495,card,1
496,career,1
497,case,1
498,cease,1
499,cebr,1
500,censorship,1
501,characterise,1
502,choice,1
503,chris,1
504,civil,1
505,collaboratively,1
506,college,1
507,combine,1
508,comment,1
509,commentator,1
510,commercial,1
511,complain,1
512,complaint,1
513,complete,1
514,complex,1
515,component,1
516,conduit,1
517,conscious,1
518,consult,1
519,contain,1
520,content,1
521,context,1
522,convergence,1
523,cooperate,1
524,correlate,1
525,course,1
526,crack,1
527,creation,1
528,creative,1
529,crisis,1
530,criticise,1
531,crossdepartmental,1
532,crunch,1
533,currency,1
534,curriculum,1
535,damage,1
536,decide,1
537,default,1
538,definition,1
539,delete,1
540,delight,1
541,delivery,1
542,depend,1
543,desk,1
544,detail,1
545,diamond,1
546,dimension,1
547,direction,1
548,disaster,1
549,discourage,1
550,divide,1
551,dodge,1
552,dot,1
553,drill,1
554,echo,1
555,elsewhere,1
556,emphatic,1
557,emphatically,1
558,encourage,1
559,endorse,1
560,enforcement,1
561,engage,1
562,engagement,1
563,engine,1
564,environment,1
565,eradicate,1
566,erasures,1
567,ethic,1
568,eventualityplus,1
569,excessive,1
570,experience,1
571,expert,1
572,expertise,1
573,explicitly,1
574,exploit,1
575,export,1
576,extremely,1
577,factor,1
578,fairly,1
579,fairness,1
580,fall,1
581,far,1
582,farreaching,1
583,fashion,1
584,fat,1
585,federal,1
586,fee,1
587,feedback,1
588,feel,1
589,field,1
590,finger,1
591,fit,1
592,flesh,1
593,flow,1
594,food,1
595,forge,1
596,forgive,1
597,form,1
598,fortune,1
599,forum,1
600,freely,1
601,ftc,1
602,fully,1
603,gather,1
604,geographic,1
605,graduate,1
606,grant,1
607,grayling,1
608,groundbreaking,1
609,grow,1
610,guide,1
611,harwell,1
612,hat,1
613,health,1
614,heath,1
615,heavily,1
616,heavy,1
617,hefty,1
618,high,1
619,highend,1
620,hightech,1
621,hinder,1
622,hold,1
623,hook,1
624,hopefully,1
625,hostage,1
626,huge,1
627,human,1
628,hunch,1
629,ico,1
630,icon,1
631,identifiable,1
632,image,1
633,imagery,1
634,imbalance,1
635,imply,1
636,impossible,1
637,improve,1
638,improvement,1
639,inadvertently,1
640,incumbent,1
641,indeed,1
642,india,1
643,infancy,1
644,influence,1
645,infringement,1
646,initiative,1
647,innovator,1
648,instance,1
649,instinct,1
650,institution,1
651,intelligently,1
652,intention,1
653,intercompany,1
654,internal,1
655,interpret,1
656,invest,1
657,irrelevant,1
658,isps,1
659,iteration,1
660,jaguar,1
661,japan,1
662,join,1
663,judicial,1
664,jurisdiction,1
665,justify,1
666,kevin,1
667,kid,1
668,kitemark,1
669,land,1
670,laud,1
671,laughable,1
672,leader,1
673,lhc,1
674,lie,1
675,light,1
676,list,1
677,listen,1
678,little,1
679,load,1
680,loyalty,1
681,mark,1
682,market,1
683,material,1
684,mathematics,1
685,mean,1
686,meet,1
687,member,1
688,memorandum,1
689,message,1
690,middle,1
691,miller,1
692,ministerial,1
693,misconception,1
694,misunderstand,1
695,mixture,1
696,mobile,1
697,model,1
698,money,1
699,month,1
700,mosley,1
701,movement,1
702,mull,1
703,name,1
704,nash,1
705,negative,1
706,negotiation,1
707,never,1
708,niche,1
709,nigel,1
710,nonsense,1
711,nothing,1
712,nutrition,1
713,occupation,1
714,offer,1
715,oil,1
716,old,1
717,opacity,1
718,opposite,1
719,outline,1
720,oversight,1
721,overview,1
722,ownership,1
723,page,1
724,paramount,1
725,past,1
726,path,1
727,pejorative,1
728,pension,1
729,perennial,1
730,period,1
731,permission,1
732,pick,1
733,pioneer,1
734,please,1
735,policymaker,1
736,politician,1
737,positive,1
738,possibility,1
739,post,1
740,postsnowden,1
741,pound,1
742,practical,1
743,present,1
744,presumably,1
745,primary,1
746,prime,1
747,priority,1
748,prize,1
749,problem,1
750,product,1
751,progress,1
752,proliferation,1
753,prosecute,1
754,providersbt,1
755,publish,1
756,pure,1
757,put,1
758,putting,1
759,quality,1
760,raise,1
761,rare,1
762,rate,1
763,reach,1
764,real,1
765,realise,1
766,reasonably,1
767,recognition,1
768,recruit,1
769,reding,1
770,refer,1
771,reflect,1
772,regard,1
773,regularly,1
774,regulator,1
775,relation,1
776,remit,1
777,remove,1
778,report,1
779,reproach,1
780,require,1
