paraNo,theme,wholeOrHalf
6,benefits,1
7,benefits,1
9,benefits,1
10,benefits,1
11,benefits,1
12,benefits,1
14,benefits,1
15,benefits,.5
15,barriers,.5
16,benefits,.5
16,barriers,.5
17,benefits,1
19,ethics,1
20,ethics,1
21,barriers,.5
21,ethics,.5
22,barriers,.5
22,ethics,.5
24,barriers,.5
24,ethics,.5
25,ethics,.5
25,legislation,.5
26,ethics,1
27,ethics,1
28,ethics,1
29,ethics,1
30,ethics,1
31,ethics,1
32,ethics,1
33,ethics,1
34,ethics,1
37,benefits,1
38,benefits,1
39,benefits,1
40,benefits,1
41,benefits,1
42,benefits,.5
42,barriers,.5
44,barriers,1
46,benefits,.5
46,barriers,.5
47,barriers,1
49,benefits,.5
49,barriers,.5
50,barriers,1
52,benefits,.5
52,barriers,.5
54,benefits,.5
54,barriers,.5
58,barriers,1
59,barriers,1
60,barriers,1
62,legislation,1
63,legislation,1
65,ethics,.5
65,legislation,.5
67,ethics,1
68,ethics,1
69,ethics,1
70,ethics,1
71,ethics,1
72,ethics,1
73,ethics,1
74,ethics,1
75,ethics,1
77,ethics,1
79,ethics,1
80,ethics,1
82,legislation,1
87,ethics,1
88,ethics,1
90,ethics,1
91,ethics,1
93,ethics,1
94,ethics,1
95,ethics,1
97,legislation,1
98,legislation,1
100,legislation,1
101,legislation,1
102,legislation,1
103,legislation,1
104,legislation,1
105,ethics,1
107,barriers,.5
107,ethics,.5
108,barriers,.5
108,ethics,.5
109,ethics,1
111,ethics,1
112,ethics,1
113,ethics,1
114,ethics,1
115,ethics,1
116,ethics,1
117,ethics,1
119,ethics,.5
119,legislation,.5
120,ethics,1
121,ethics,1
122,ethics,1
124,barriers,1
126,barriers,1
127,barriers,1
128,barriers,1
129,barriers,1
130,barriers,1
131,barriers,1
133,barriers,1
134,barriers,1
135,barriers,1
136,barriers,1
137,barriers,1
139,barriers,1
140,barriers,1
141,barriers,1
148,benefits,1
149,benefits,1
150,benefits,1
151,benefits,1
153,benefits,1
154,benefits,1
156,barriers,1
158,barriers,1
159,barriers,1
160,benefits,1
162,barriers,1
163,barriers,1
165,benefits,1
167,benefits,1
168,benefits,1
169,benefits,1
171,ethics,1
172,ethics,1
174,benefits,1
175,benefits,1
176,benefits,1
177,ethics,1
179,benefits,1
181,benefits,1
183,benefits,1
185,benefits,1
186,benefits,1
188,benefits,1
189,benefits,1
190,benefits,1
192,benefits,1
194,ethics,1
196,benefits,1
197,benefits,1
199,benefits,1
200,benefits,1
202,benefits,1
204,benefits,1
206,barriers,1
208,barriers,1
210,barriers,1
211,barriers,1
212,barriers,1
213,benefits,1
214,benefits,1
215,benefits,1
216,benefits,1
218,barriers,1
220,barriers,1
222,barriers,1
226,benefits,1
228,benefits,1
230,ethics,1
232,ethics,1
234,ethics,1
236,ethics,.5
236,legislation,.5
237,ethics,.5
237,legislation,.5
238,ethics,.5
238,legislation,.5
240,ethics,.5
240,legislation,.5
241,ethics,.5
241,legislation,.5
243,ethics,.5
243,legislation,.5
244,ethics,.5
244,legislation,.5
246,ethics,1
248,ethics,1
249,ethics,1
250,ethics,1
251,ethics,1
252,ethics,1
255,ethics,1
257,barriers,1
258,barriers,1
259,barriers,1
260,barriers,1
262,barriers,1
264,barriers,1
266,barriers,1
267,barriers,1
269,barriers,1
271,barriers,1
272,barriers,1
274,benefits,1
276,legislation,1
277,legislation,1
279,legislation,1
281,legislation,1
282,legislation,1
284,ethics,1
286,legislation,1
287,ethics,.5
287,legislation,.5
295,barriers,1
297,barriers,1
298,barriers,1
299,barriers,1
301,barriers,1
302,benefits,0.5
302,barriers,0.5
303,benefits,.5
303,barriers,.5
307,benefits,.5
307,barriers,.5
308,benefits,.5
308,barriers,.5
310,barriers,1
311,barriers,1
312,barriers,1
314,benefits,.5
314,barriers,.5
316,benefits,.5
316,barriers,.5
318,ethics,1
319,ethics,1
323,ethics,.5
323,legislation,.5
324,ethics,1
325,ethics,1
327,legislation,1
328,legislation,1
330,barriers,.5
330,ethics,.5
332,barriers,1
334,barriers,1
335,barriers,1
336,barriers,1
338,benefits,.5
338,barriers,.5
339,benefits,.5
339,barriers,.5
340,barriers,1
341,barriers,1
343,barriers,1
344,barriers,1
345,ethics,1
346,barriers,1
348,barriers,.5
348,ethics,.5
350,ethics,1
352,ethics,1
356,ethics,1
357,ethics,1
358,ethics,1
359,ethics,1
360,ethics,1
362,ethics,1
364,ethics,1
366,ethics,1
368,ethics,1
370,ethics,.5
370,legislation,.5
371,ethics,1
372,ethics,1
373,ethics,1
374,ethics,1
375,ethics,1
376,ethics,1
378,ethics,1
380,ethics,1
381,ethics,1
383,ethics,1
385,ethics,1
387,benefits,1
388,benefits,1
389,benefits,1
391,benefits,1
393,benefits,1
395,benefits,1
396,benefits,1
397,benefits,1
398,benefits,1
401,benefits,1
402,benefits,1
404,benefits,1
405,benefits,1
406,barriers,1
409,barriers,1
410,barriers,1
412,barriers,1
413,barriers,1
414,barriers,1
415,barriers,1
417,ethics,1
418,barriers,1
419,barriers,1
420,barriers,1
428,ethics,1
430,ethics,1
432,ethics,1
433,ethics,1
434,ethics,1
435,ethics,1
436,ethics,1
438,ethics,1
440,ethics,1
442,barriers,.5
442,ethics,.5
444,barriers,.5
444,ethics,.5
446,ethics,1
448,ethics,1
449,ethics,1
450,ethics,1
