paraNo,theme
4,ethics
5,legislation
8,benefits
9,benefits
10,benefits
11,benefits
12,benefits
13,benefits
14,benefits
15,barriers
16,barriers
17,barriers
18,barriers
19,barriers
20,barriers
23,barriers
24,barriers
25,barriers
26,barriers
27,barriers
30,legislation
31,legislation
32,legislation
33,ethics
34,ethics
36,ethics
37,ethics
38,ethics
39,ethics
40,ethics
41,ethics
42,ethics
43,ethics
44,ethics
45,ethics
46,ethics
47,ethics
48,ethics
50,ethics
51,ethics
52,ethics
53,ethics
55,ethics
56,ethics
58,legislation
59,legislation
60,ethics
61,legislation
62,legislation
63,legislation
65,ethics
66,ethics
67,ethics
68,ethics
