#Science and Technology Committee 
#Oral evidence: Social media data and real time analytics, HC 245 Wednesday 18 June 2014 
#Ordered by the House of Commons to be published on 18 June 2014. Written evidence from witnesses: 
#– Digital Science 
#– Alliance for Useful Evidence/Demos/David Omand 
#– techUK 
#– Consumer Data Research Centre, University of Leeds 
#– Universities of East London and Birmingham 
#– University of Cambridge Watch the meeting 
#Members present: Andrew Miller (Chair); Jim Dowd; Mr David Heath; Stephen Metcalfe; Stephen Mosley; Pamela Nash; Graham Stringer; David Tredinnick 
#Questions 1-79 
#Witnesses: Timo Hannay, Managing Director, Digital Science, Carl Miller, Research Director, Centre for the Analysis of Social Media, Demos, and Sureyya Cansoy, Director, Tech for Business and Consumer Programmes, techUK, gave evidence.
question|person|oralEvidence
Q1|Chair|I welcome the panel here this morning. Can I ask you, for the record, to start by introducing yourselves? 
Q1|Sureyya Cansoy|Good morning. My name is Sureyya Cansoy. I am a director of tech for business and consumer programmes at techUK, the trade body for the technology industry. Thank you so much for the opportunity to talk to you this morning. 
Q1|Timo Hannay|Hello. I am Timo Hannay. I am managing director of Digital Science, a division of Macmillan Science and Education, the publishing company. We make software for researchers and scientists. 
Q1|Carl Miller|Good morning, everyone. I am Carl Miller, the research director for the Centre for the Analysis of Social Media—a bit of a tongue twister—at the think-tank Demos. 
Q2|Chair|A number of companies—I guess some of yours—make money from the use of social media data. There is nothing wrong with that; it is perfectly respectable. Will you tell us how the business models work—how you achieve that? 
Q2|Sureyya Cansoy|From our perspective, there are probably two broad ways that companies make money. One is that technology companies provide the software and tools necessary for big data analytics and social media analytics. They make the software and tools available to their customers through licensing, and they generate revenue through installing that software and training the staff in the customer organisations who will be using those tools. A smaller number of those tech companies also provide an end-to-end service delivery to customers. Instead of just providing the software and the tools, they actually provide the whole service to the customer. That is mainly how they make money. 
Q2|Sureyya Cansoy|In the broader context, companies using social media analytics ultimately make money out of gaining better insights into their customers, which increases their revenues and profitability. It is as simple as that. Some of the technology companies, in addition to providing software and tools for their customers, also use social media analytics to understand their customer base and the needs of their customers better so that they can tailor their products and services much better to their customers. 
Q3|Chair|The raw data itself is not the value; it is the data plus the analytical work done on the data. 
Q3|Sureyya Cansoy|Very much so. If we look at the amount of data out there, especially in the context of social media data, it is vast. You can argue that it only creates value once you analyse that data; you are able derive certain insights from the data that you can then apply to your business in order to become more efficient and effective, in order to create innovation and so on. Having said that, in order to do that analysis you need the data. It goes hand in hand, but analysis is an important element. 
Q3|Carl Miller|Social media platforms mainly regard themselves as advertising companies rather than data brokers. There are two models for the platforms. They either advertise— Facebook regards itself as an advertising company—or they sell data. Twitter stands out from all the companies as having a more data-centric view of how it is going to make value in the future, but it is not making that much value at the moment. If you look at the valuation of Twitter, it is 60 times what it currently turns over every year, which is enormous, and most of that is because of the future potential that they see in the data they create and can sell. 
Q3|Timo Hannay|May I comment on our business? We make a slightly unusual but hopefully interesting use of social media data. We have a range of young scientific software companies in which we have invested. We have a portfolio of second businesses in which we have invested. The most pertinent to the subject of this discussion is a company called Altmetric, which is a very young commercial organisation that was founded a couple of years ago. Its business is gathering social media data and other data to look at what attention is being paid to the scientific literature, the scientific papers. We are trying to enable a scientific discourse online. It works by gathering data from a range of sources, so it includes social media—Twitter, Facebook, Google Plus, Sina Weibo and so on—and also the several thousand blogs that post regularly about scientific papers and scientific subjects. We use that, together with data from mainstream media, from sources such as Government policy documents, to look at what attention is being paid to scientific papers and what impact they are having. 
Q3|Timo Hannay|We sell the business model to publishers; most of the top scientific publishers use our data in order to be able to point their readers and authors to what is being said about the content online. We sell data analytics to universities and other research organisations so that they can see what is being reported about their own and others’ research. We also sell data and analytics to funders who want to conduct similar kinds of analysis. We are not in the business of trying to market to people through social media, or those kinds of commercial pursuits; we are trying to facilitate scientific discourse online through the use of social media data. 
Q4|Chair|You will know from some of your scientific publications that, in some scientific disciplines, there is such a mass of data out there that finding reliable ways of analysing the data is quite hard. What is the risk of this analysis of big data becoming simply a big disappointment because it turns out, down the road, that you have got it wrong? How robust are your systems? 
Q4|Timo Hannay|It is fair to say that these are early days. As I said, Altmetric, the business in which we have invested that is relevant here, has only existed for a couple of years. The whole area of so-called altmetrics—the field in which people are applying these new kinds of measures, particularly data that you can gather online about the attention being paid to the impact of research publications and research activities—is a new field, so we are still learning about it. It is not just a matter of commercial development; it is a matter of research and development, as we try to understand these data. 
Q4|Timo Hannay|That said, it already has value. We already have 50 prominent, and in many cases large, scientific and technical publishers using our data and displaying it alongside their content. We know from surveys, and from more informal reader and author feedback, that people find this information useful. It is useful today, and it is generating revenue and commercial opportunities today, but it is still in its infancy, particularly in its use in research evaluation. You will be aware, I am sure, that research evaluation these days is conducted mainly through analysis of citations in the literature, which is valuable and will continue, but it takes a long time and measures only one kind of impact. What we are trying to do is to measure a much broader range of impacts, and to do so in real time online, through the analysis of these data. 
Q4|Timo Hannay|In terms of getting it wrong, the risks are much higher on the research evaluation side, so things are moving more slowly there. We need to be cautious. We need to understand how to interpret these data, and how they can inform decisions around funding, appointments, tenure and so forth. They undoubtedly can, but we need to be cautious, because those are important decisions. 
Q4|Timo Hannay|When it comes to helping people to engage in the online conversation around the literature, and helping them to discover papers that they might otherwise not have read but which are getting a lot of attention online, and drawing their attention to that fact, that has value today. That is indisputable. 
