#Science and Technology Committee 
#Oral evidence: Social media data and real time analytics, HC 245 Monday 23 June 2014 
#Ordered by the House of Commons to be published on 23 June 2014. Written evidence from witnesses: 
#- Horizon Digital Economy Research Institute 
#- Economic and Social Research Council (on behalf of RCUK) 
#- Web Science Trust and the EPSRC project SOCIAM 
#- Professor Liesbet van Zoonen, Loughborough University 
#- UK Computing Research Committee 
#- The Open University 
#- Big Brother Watch
#Watch the meeting
#Members present: Mr Andrew Miller (Chair); Jim Dowd; Stephen Metcalfe; Stephen Mosley; Graham Stringer 
#Questions 80-155 
#Witnesses: Professor Derek McAuley, Professor of Digital Economy in the School of Computer Science and Director of Horizon, Horizon Digital Economy Research Institute, Professor David De Roure, Director, Oxford e-Research Institute and ESRC Strategic Adviser for Data Resources, Economic and Social Research Council, and Sir Nigel Shadbolt, Professor of Artificial Intelligence, Web Science Trust, gave evidence.
question|person|oralEvidence
Q80|Chair|Gentlemen, thank you for coming in this afternoon. First, let me apologise on behalf of some of the Committee members who are unable to be here. We have squeezed this in out of our normal cycle and we are clashing with N other things in this building, but we are grateful that you have been able to come. For the record, I would be grateful if you would start by introducing yourselves. 
Q80|Sir Nigel Shadbolt|I am Sir Nigel Shadbolt. I am professor of artificial intelligence and head of the web and internet science group at the University of Southampton. 
Q80|Professor McAuley|I am Professor Derek McAuley, professor of digital economy, and I run the Horizon Institute, a research institute, at the University of Nottingham. 
Q80|Professor De Roure|I am David De Roure, director of the Oxford e-Research Centre, which is a multi-disciplinary research centre at Oxford. I am a representative of ESRC in my role as strategic adviser for social media. 
Q81|Chair|First, I want to clarify the use of English. A lot of people use the word "infrastructure" in this discussion about social media and real time analysis. What do they mean by infrastructure? Are we talking about people, physical technology or software? What is the correct definition to use? 
Q81|Sir Nigel Shadbolt|It is all of the above. You have to believe that in this area the hardware process the content in anything like real time at sufficient scale and the software analytics are clearly an essential component, but without analysts capable of drawing pertinent and relevant conclusions to understand the context of the setting you have hardware and software that has little value to it. 
Q82|Chair|Is that an accepted definition? 
Q82|Professor McAuley|I would accept that definition. It is often easy to get confused about the infrastructure being purely the hardware, with perhaps too much emphasis on that, since a lot of this is available commercially, in terms of at scale, and we really want to think about the software tools, the technologies and the people. 
Q82|Professor De Roure|I would accept that broad definition. It is very good to hear software emphasised because very often it is something that is forgotten or taken for granted. Digital infrastructure is perhaps different from roads. One of the things about digital is that a lot of the infrastructure can go to the person rather than the person to the infrastructure. 
Q82|Sir Nigel Shadbolt|Data themselves are an infrastructure. Perhaps this sounds a little odd to some ears, but the structure of the stuff we are analysing has an intrinsic infrastructure, so working out what those standards and interoperability points could be will turn out to be quite important. 
Q83|Chair|Within the UK are there gaps in that infrastructure? 
Q83|Professor De Roure|The experience of consulting to prepare for this emphasises repeatedly the skills gap. I know that is the theme of today, so we will be discussing that. I also highlight the software issue I mentioned just now. It tends to be taken for granted and not seen as infrastructure, but it absolutely is. 
Q83|Professor McAuley|In interacting around social media especially, we might look to the sort of move the Library of Congress in the US has made to grab hold of this as a national resource. One of the things we are doing at the moment, which perhaps is not most effective, is that everyone is negotiating for access to these datasets independently, hence not having any negotiating power to get access. 
Q83|Sir Nigel Shadbolt|It is a very important point. I am sure we will talk about the gaps around capability. The other thing to note is that we are in a curious situation in which the private sector, which is driven by the interest and intent to understand everything from sentiment to buy and intent to purchase, has substantial holdings of data that hold really interesting social insights. Some of the companies themselves are the very social media companies. There is an interesting question about the balance between the public and private holding and collecting of those data, and whether we need to take a much more balanced view about how we can get the private sector to work in common cause with us, because it has some of the most valuable content. 
