#Science and Technology Committee 
#Oral evidence: Social media data and real time analytics, HC 245 Wednesday 2 July 2014 
#Ordered by the House of Commons to be published on 2 July 2014. Written evidence from witnesses: 
#- Information Commissioner's Office 
#- University of Manchester 
#- Dr Kevin Macnish 
#- Government Departments Watch the meeting
#Watch the meeting
#Members present: Mr Andrew Miller (Chair); Mr David Heath; Stephen Metcalfe; Stephen Mosley; Pamela Nash; Graham Stringer; David Tredinnick 
#Questions 156-227 
#Witnesses: Steve Wood, Head of Policy Delivery, Information Commissioner's Office, Dr Mark Elliot, Senior Lecturer, Confidentiality and Privacy Research Issues group, University of Manchester, and Dr Kevin Macnish, Teaching Fellow and Consultant, Inter-Disciplinary Applied Ethics Centre, University of Leeds, gave evidence.
question|person|oralEvidence
Q156|Chair|Good morning, gentlemen. Thank you for your patience. We have been trying to finalise another report on an entirely different subject, which we hope will become clear in a few days. For the record, I would be grateful if you would introduce yourselves. 
Q156|Dr Macnish|I am Kevin Macnish from the Inter-Disciplinary Applied Ethics Centre at the University of Leeds. 
Q156|Steve Wood|I am Steve Wood. I am head of policy delivery at the Information Commissioner's Office. 
Q156|Dr Elliot|I am Mark Elliot from the School of Social Sciences at the University of Manchester. 
Q157|Chair|Some of the witnesses we have heard from and the evidence that has come in have suggested that the use of social media data produces a minefield for ethicists and should be limited until we have very core defined ethical standards in place. Do you agree with that, or do you see that there are problems? 
Q157|Dr Macnish|Yes; there are certainly problems with it. The amount of information people are putting out about themselves and the amount of information that can be gained and potentially abused is quite revolutionary. We simply do not have in place the regulations, or even the ethical understanding in many cases, to know how to deal with this. 
Q157|Steve Wood|From the perspective of the Information Commissioner's Office, we are focused on the regulation of the Data Protection Act and the interaction between this area and personal data. There are certain rules and pieces of legislation in place which interact with this area, but we certainly see a need to modernise the data protection framework. That work is currently taking place in the negotiations in Europe over the new data protection regulations to see how they can be modernised. Equally, we see a welcome interaction between the world of data protection and the wider development of ethics committees, in particular the use of ethical frameworks in the commercial sector, which may be a new approach. We certainly see a welcome interaction between those areas. 
Q157|Dr Elliot|We do not yet understand the psychology of being in these public/private spaces where there is a fusion of understandings of what is private and what is public. It is clear that something being placed on social media is not a consent to do whatever you want with it now. People's understanding of what they are doing when entering information into a social media site or Twitter is not the same as broadcasting something to be used subsequently for whatever purpose anybody wants to use it for. 
Q158|Chair|Dr Elliot, in your evidence you said that, in comparison with other types of data, the ethical guidelines for social media data are underdeveloped. Is that simply because it is also new, or are there barriers that we have not considered in other similar debates? 
Q158|Dr Elliot|The newness of it is really important. We are also facing issues where social media data are not used on their own. There is increasingly interest in linking the data to other data, which throws up a whole set of different issues. You cannot take this out of the big data context. Social media data are one type of the new data that are often called big data. How those data fit in with all the other data available for use in various different ways by different groups of people with overlapping interests is something we need to take into account, and that framework is just not there. 
Q159|Chair|More generally on this point, we have to try to synthesise a sensible report out of an incredibly complicated set of information that has come to us. Clearly, there are concerns about ethics in this space. If you were assisting us to draft that report, give us one ethical guideline that you think ought to be firmly implanted in our considerations. 
Q159|Steve Wood|In terms of the interaction between privacy and data protection issues, one area we are keen to promote is the concept of a privacy impact assessment. I think that can interact quite well with wider ethical considerations, particularly considering the effects and potential use of the data and different range of scenarios, from research to looking at trends and sentiment issues relating to social media, compared with other areas where the data might be used more to create a profile that might be applied, and may relate to decision making, to an individual, where it may have different types of impact. The privacy impact assessment that we have developed at the Information Commissioner's Office can be a useful tool which can link and work well in the wider context of ethical considerations. So that might be one of my opening points. 
Q159|Dr Macnish|Speaking as an ethicist, I would say much more broadly than that even, but simply just do no harm as much as possible. It may sound facetious, but a lot of good can come out of social media and big data in general, but there is also tremendous scope for abuse. What we should be looking to do as a community, both in law and in ethics, is to limit that harm to the greatest extent possible while also freeing up the benefits that can come out of it. 
Q159|Dr Elliot|I think it is defining the principles of what is and is not fair use of the information, and also the relationship between the provider of the social media and the users. The recent report to hit the news headlines about experiments being conducted by Facebook is a clear example of misuse. This goes beyond the data, and that is why it gets so complicated. This is not just about the data; it is about the relationship between Facebook and its users who are being manipulated in the experiment. Clearly, experimental use of information, which is using your data for research, goes beyond that. It is the use of Facebook users for research, and a boundary there has been crossed. 
Q160|Stephen Mosley|There is a boundary there, but do you think data protection legislation hinders the legitimate use of data for research? 
Q160|Steve Wood|I do not think data protection legislation necessarily hinders the use of data for research. It contains a set of principles. As Mark has already mentioned, the first principle relating to fairness is a really useful tool which can guide people to the right considerations, thinking about the reasonable expectations of the data subject and other impacts on them. A lot of the debate has been around the future data protection regulations and the balance between the need to have consent for research and whether other conditions can be used in data protection legislation to legitimise the research, if you like. There has been widespread debate in relation to the proposed data protection regulations being negotiated in Brussels about what that balance should be. At the Information Commissioner's Office we accept that in some circumstances consent will not always be the right route for research for a number of reasons, but there are other conditions and tools which should be available in the legislation to consider whether the research can go ahead. For example, considering the concept of legitimate interest still requires a data controller to take into account the impact on the data subject and to think about the benefits and legitimate reasons why they are doing that research. It is about a balance of the legitimate conditions to focus on the research. Consent has its place, but it is about that balance. 
Q160|Steve Wood|I do not think the current data protection law as it stands is necessarily a barrier to research. Sometimes it can be misunderstood, but, equally, there are issues about getting the balance right to make sure we have the right protections, but, equally, to make sure there is a reasonable understanding and reflecting how research can work in the current data protection legislation. 
Q161|Stephen Mosley|Surely, if something has been legitimately published-let's say they are court records, for instance, or an individual has posted it publicly themselves-and it is publicly available, it should be available for research purposes. 
